Stat,X-cord(m),Y-cord(m),Period(s),R(Zxx),I(Zxx),R(Zxy),I(Zxy),R(Zyx),I(Zyx),R(Zyy),I(Zyy)
1,-46875,-46875,0.1,0.01511,0.0088,12050,-7503,-12040,7499,-0.01436,-0.008925
1,-46875,-46875,0.3162,0.01345,0.003396,4758,-5587,-4758,5586,-0.01367,-0.003153
1,-46875,-46875,1,0.0153,0.01543,2432,-2716,-2432,2715,-0.01561,-0.01583
1,-46875,-46875,3.162,0.02325,0.03586,1367,-1457,-1366,1457,-0.02386,-0.03604
1,-46875,-46875,10,0.0373,0.08932,768.2,-796.3,-767.9,796.5,-0.03838,-0.08772
1,-46875,-46875,31.62,0.05924,0.2479,432.4,-439.8,-432,440.6,-0.06234,-0.2458
1,-46875,-46875,100,-1.093,0.5268,242.9,-242.7,-244.1,244.5,1.099,-0.5092
1,-46875,-46875,316.2,5.04,4.189,145.2,-130.1,-137.8,142.8,-4.805,-3.914
1,-46875,-46875,1000,3.787,-3.054,93.82,-77.42,-74.8,81.51,-3.615,2.505
2,-46875,-40625,0.1,0.002793,0.001871,12040,-7497,-12040,7497,-0.001474,-0.001662
2,-46875,-40625,0.3162,0.002888,0.001672,4758,-5585,-4758,5585,-0.002411,-0.001356
2,-46875,-40625,1,0.003036,0.004979,2432,-2715,-2432,2715,-0.002799,-0.005035
2,-46875,-40625,3.162,0.004953,0.01308,1366,-1457,-1366,1457,-0.004604,-0.01291
2,-46875,-40625,10,0.008609,0.03559,767.9,-796.3,-767.8,796.4,-0.007958,-0.03453
2,-46875,-40625,31.62,0.007095,0.1068,432,-440.3,-431.9,440.6,-0.005717,-0.1054
2,-46875,-40625,100,-0.7233,-0.2216,242.5,-244.3,-243.2,244.3,0.7243,0.2098
2,-46875,-40625,316.2,2.947,3.64,140.1,-131.3,-139.5,141.7,-2.84,-3.353
2,-46875,-40625,1000,2.857,-1.992,91.6,-74.53,-75.91,81.89,-2.624,1.619
3,-46875,-34375,0.1,0.0009229,0.0001962,12040,-7497,-12040,7497,0.00003261,-0.000522
3,-46875,-34375,0.3162,0.001,0.001055,4758,-5585,-4758,5585,-0.0008341,-0.0007234
3,-46875,-34375,1,0.0009472,0.00217,2432,-2715,-2432,2715,-0.001003,-0.002409
3,-46875,-34375,3.162,0.001689,0.006157,1366,-1457,-1366,1457,-0.001757,-0.006337
3,-46875,-34375,10,0.003288,0.0173,767.8,-796.4,-767.8,796.4,-0.003294,-0.01708
3,-46875,-34375,31.62,0.0004769,0.05118,431.9,-440.5,-431.9,440.6,0.0001859,-0.05033
3,-46875,-34375,100,-0.3149,-0.3425,242.8,-244.9,-242.7,244.5,0.3234,0.3183
3,-46875,-34375,316.2,1.538,2.641,136.9,-132.9,-140.2,140.8,-1.546,-2.366
3,-46875,-34375,1000,1.985,-1.152,90.02,-72.68,-76.61,81.98,-1.698,0.9537
4,-46875,-28125,0.1,0.0005509,-0.00047,12040,-7497,-12040,7497,0.0004092,-0.0001745
4,-46875,-28125,0.3162,0.0005689,0.000624,4758,-5585,-4758,5585,-0.0004362,-0.0004274
4,-46875,-28125,1,0.0004353,0.001013,2432,-2715,-2432,2715,-0.0005236,-0.001298
4,-46875,-28125,3.162,0.0008135,0.003077,1366,-1457,-1366,1457,-0.0009565,-0.003355
4,-46875,-28125,10,0.001713,0.008698,767.8,-796.4,-767.8,796.4,-0.001858,-0.008796
4,-46875,-28125,31.62,-0.00005591,0.02442,431.9,-440.5,-431.9,440.7,-0.001687,-0.0243
4,-46875,-28125,100,-0.08261,-0.1887,243.1,-245.1,-242.5,244.7,0.09742,0.1638
4,-46875,-28125,316.2,0.5913,1.434,135.2,-134.2,-140.4,140.3,-0.6906,-1.176
4,-46875,-28125,1000,1.157,-0.4403,89.11,-71.61,-77,81.93,-0.8121,0.4089
5,-46875,-21875,0.1,0.0004159,-0.0008732,12040,-7497,-12040,7497,0.0004413,0.00006064
5,-46875,-21875,0.3162,0.0003551,0.0003539,4758,-5585,-4758,5585,-0.000193,-0.0001619
5,-46875,-21875,1,0.0002037,0.0002919,2432,-2715,-2432,2715,-0.0002745,-0.0005864
5,-46875,-21875,3.162,0.000366,0.001125,1366,-1457,-1366,1457,-0.0005036,-0.001416
5,-46875,-21875,10,0.000781,0.00322,767.8,-796.4,-767.8,796.4,-0.0009737,-0.003389
5,-46875,-21875,31.62,0.00271,0.008335,431.9,-440.6,-431.9,440.7,-0.003537,-0.008441
5,-46875,-21875,100,0.03098,0.04874,243.2,-245.1,-242.5,244.7,-0.01406,-0.07091
5,-46875,-21875,316.2,-0.1139,0.1599,134.4,-134.6,-140.3,140.2,-0.05294,0.09223
5,-46875,-21875,1000,0.3672,0.2095,88.86,-71.19,-77.17,81.78,0.04577,-0.08269
6,-46875,-15625,0.1,0.0003139,-0.001166,12040,-7497,-12040,7497,0.0005013,0.0001639
6,-46875,-15625,0.3162,0.0001622,0.000172,4758,-5585,-4758,5585,-0.00004794,0.00003766
6,-46875,-15625,1,0.00002345,-0.0003155,2432,-2715,-2432,2715,-0.00007992,0.00002496
